word	frequency	WiyotEquivalents
CONT	23	['wáł', 'woł', 'wał', 'čuwował', 'wal']
pound	23	['šarów', 'šar', 'širów']
cook	23	['púw', 'awatot', 'tutót', 'puw', 'tut', 'pu', 'tútot', 'tút']
TH.STV	23	['othu', 'eł', 'íl', 'híl', 'éw', 'úw', 'áw', 'aw', 'ow', 'áhw', 'al', 'ew']
here.and.there	23	['tága', 'taga', 'tagá', 'wóla', 'togá']
enough	23	['kíłoh,', 'píč', 'kíł,', 'kéłoh', 'kíloh,', 'pič']
drink	23	['madóč', 'badočh', 'badoč', 'wadočh', 'wadoč', 'wudočh', 'wudoč', 'wonóč', 'wódočh', 'madočh']
1SBJ.SBJV.	22	['ok.', 'am.', 'ahg.', 'ag.', 'ók.', 'ahm.', 'ak.', 'og.']
OPT	22	['šuš', 'š', 'šu', 'šú']
give	22	['acab', 'hacab', 'yácab', 'ał', 'cab', 'yácaw', 'yácow', 'lácab', 'lác', 'yác', 'łak', 'bácab', 'hutw']
go.about	22	['hól', 'lohl', 'lol', 'tol', 'lól']
land	22	['lágadak', 'agátk', 'thałóy', 'awatkak,', 'thałoy', 'lagad', 'latkák', 'tháłoy', 'lágadak,']
rock	22	['płátk', 'płátk,', 'phlét', 'phlet', 'płatk', 'płátw', 'phłatk', 'phłath', 'phłátk']
PROB	22	['khe', 'khé', 'dakhe']
happen[nmlz]	22	['nágadak', 'nagadak,', 'nágadak,', 'ágadak', 'nagadak']
1PL	22	['hinód', 'hinód,', 'hinod']
darken	21	['khúhn', 'khún', 'uhn', 'kún', 'khúnohnalaw', 'khunohnalaw']
good	21	['kúc', 'kuc', 'kucalí,']
think[nmlz]	21	['dów,', 'dow']
feast	21	['mół', 'moł', 'woł', 'bołát', 'boł', 'wół']
3SBJ.PASS	21	['ad', 'ad,', 'i', 'ahd', 'ád,', 'oh', 'h,', 'uh', 'od', 'án']
cl.time	21	['abe', 'ab', 'bé', 'am', 'abé']
gather	21	['čokwal', 'wál', 'čókwil', 'čókwal']
cross	21	['takt', 'tákt', 'tákh', 'taktéł', 'tátk', 'takteł']
almost	21	['tokiłkó', 'won', 're', 'dé', 'tóhkił', 'tokíłkó', 'ré']
HORT	20	['hóšku', 'hóš,', 'it,', 'ít,', 'hoš', 'šuw', 'hó', 'hóš', 'oš', 'šu']
surely	20	['četk', 'kíč', 'khičhk', 'kičk', 'kičh', 'kič']
child	20	['cék,', 'cek', 'cekh', 'cék', 'cékh']
weave	20	['iwakwh', 'ún', 'líwakwh', 'íwakwh', 'lún', 'yiwakwh', 'un', 'liwakwh']
bring	20	['lul', 'lútw', 'tútw', 'lótw', 'ulaw', 'búhl', 'lutw', 'ul', 'yutw', 'yútw', 'hutw']
move	20	['raróratkš', 'dódatkhš', 'dodéthkš', 'yódatkhš', 'ół', 'tol', 'atol', 'dawawáthkš', 'durathkš', 'lól', 'rorátkš', 'dódathkš', 'dórathkhš', 'tow', 'dódáthkš', 'tól']
person	20	['kúwi', 'kúwil', 'kuhwil', 'kuwíl', 'kuhwíl', 'kuwil', 'kuhwíl,', 'kuliya']
way.up	20	['wátowa', 'kudik', 'wótawu', 'wótuwo', 'wótuwu', 'kudíkwh', 'kudikwh', 'kudík', 'wotawu', 'kudíkh', 'kudíkw', 'kudikh']
from.behind	20	['dołe', 'do', 'dółe', 'dułé', 'dałé', 'dole', 'dołé']
catch	20	['kón', 'kh', 'kówehl', 'čokwal', 'khán', 'khal', 'k', 'l', 'khan', 'khanew']
boat	20	['holúhw', 'holúhwi,', 'holúhwi', 'lúhwi,']
lie.down	20	['tíkwhł', 'tohl', 'tekwhł', 'tóhl', 'tekwł', 'tékwhł', 'tikwhł']
watch	19	['sbókw', 'ródukł', 'tówił', 'kłór', 'kł', 'khł']
3SBJ<NMLZ.P>STV.	19	['á<h>n.', 'i<h>m.', 'o<h>n.', 'e<h>n.', 'a<h>n.', 'é<h>n.']
talk.to	19	['thahl', 'thál', 'thal', 'thél']
INST.TR	19	['út', 'ut']
dog	19	['wóyic', 'wóyic,']
here	19	['kwíleh', 'kwilé', 'kwháli', 'kwhali', 'kwile']
be.many	19	['kacwoł', 'kacw', 'koc', 'kéc', 'kác', 'kac']
2SBJ.	19	['it.', 'át.', 'ak.', 'at.']
woods	19	['wónokwh', 'wónakw', 'wónokw', 'wonakw', 'wónakwh']
go[1sbj]	19	['átol', 'yol', 'lol', 'atol', 'tol', 'lól,', 'lág', 'lól', 'lag,', 'atol,', 'ator,', 'lag']
smoke	19	['tólosw', 'bewad', 'behwad', 'bíhwadaw', 'tolos', 'bíhwad,', 'bihwad', 'tólos']
when.nmlz.adv	19	['hú', 'hu']
be.a.while	19	['nú', 'dukot', 'dúk', 'núk', 'duk', 'nuk']
INT	18	['ho', 'ya', 'lo', 'yo,', 'iyo', 'yo']
be.so[3sbj]	18	['dakw,', 'nágadak,', 'yakw', 'dakw', 'dákwhe', 'nakw']
all.right	18	['hóšku', 'hoš', 'hošk', 'hošku', 'hoškú']
young.man	18	['thígadił', 'thigadił', 'thígadił,', 'thigádił']
from	18	['dokh', 'dok', 'wík', 'ik', 'wik']
south	18	['hátw', 'hišbarí,', 'khátb,', 'hišbarí', 'hat', 'tot', 'at']
sibling	18	['duwadákhad', 'tówadak', 'towadak', 'towadákhad', 'tówadákhad', 'tówadakhad']
2OBJ	18	['os', 'ás', 'us', 'ís', 'és', 'étham', 'ihs', 'ós', 'áhs', 'as']
woman	18	['kabuč', 'khokadówiwił', 'tákabuč,', 'mutwił', 'khokadówiwił,', 'carorił,', 'kabúč,', 'kabuč,']
cl.days	17	['me', 'abe', 'ók,', 'be']
do.to	17	['okh', 'halók', 'dokw', 'lók', 'hok', 'yok', 'lokw', 'lok', 'darił']
catch.many	17	['kác', 'kácwa', 'kac']
stand	17	['ohw', 'tohlaw']
food	17	['mół,', 'bíwih,', 'béwih', 'bewih', 'mółak', 'biwih', 'wélił', 'bíwih']
hear.noise	17	['púšúk', 'paduk', 'púšuk', 'padúk']
do.with.mouth	17	['ap', 'áp', 'óhph']
some.time	17	['tełta', 'tołto', 'teł', 'tełto']
near	17	['díhroy,', 'wadawókukeh', 'író', 'didóy', 'dihr', 'dir']
happen	17	['nágadak', 'akw', 'yagadak', 'nagadak', 'dawága', 'dákwh', 'dákw', 'dakw', 'nakw', 'dágad']
hang	17	['akws', 'ákws', 'áhkw', 'ókwš', 'okw', 'okwhs', 'raphackunókwš', 'raphatkunókwš', 'akwhs', 'lokwł', 'okwł', 'ákw', 'okws']
by.water	17	['úl', 'ol', 'úth', 'ul', 'uth']
shoot	17	['soból', 'khabálag', 'swól', 'sbohl', 'swol', 'sból', 'khawáhl']
1SBJ.SBJV	16	['ak,', 'ak', 'ok', 'ak.']
for.nothing	16	['šwe', 'šwi', 'šbí', 'šbi']
dry<nmlz.p>	16	['bácawa<h>n', 'bácawa<h>n,', 'bacawa<h>n,', 'bacawahn,']
before	16	['khunó', 'nó', 'khuno', 'kuno', 'no', 'khunoh']
happen[3sbj]	16	['yágadak', 'nágadak', 'dágadak,', 'nagadak,', 'dágadak', 'nágadak,', 'nagadak', 'dakw', 'dagadak']
indian	16	['kúkwok', 'kuhwíl,', 'kúkwok,', 'kuhwil']
3SUB	16	['uhl,', 'áhl,', 'ahl', 'ahr', 'ahl,']
stay	16	['łag', 'tohkw', 'tol', 'tokw', 'tákw', 'to', 'tok', 'kot', 'tól']
girl.	16	['carorił.', 'bočád.', 'carórił.']
happen[3sbj].	16	['agadak.', 'dágadak.', 'nagadak.', 'áwadak.', 'gadak.', 'nágadak.']
be.light[nmlz]	16	['dawałor', 'dawáłor', 'dowáłor', 'dawáłór', 'dawáłar', 'dáwáłor', 'rawałor']
be.dark	16	['khún', 'sísw', 'siswéks', 'un', 'sisw']
lie	16	['éhl', 'kómal', 'tohl', 'tekwhł', 'tol', 'tékwhł', 'al', 'l', 'ł', 'tól']
be.so[3sbj.stv].	16	['dakw.', 'nakw.']
3OBJ.PERS	16	['uk', 'ók', 'ek', 'og', 'úk', 'óg', 'ok']
north	15	['whúd', 'búhr', 'buhd', 'buhr', 'phudi', 'phuri', 'wuhd', 'wuy', 'whuhd', 'búhr,']
be.so[3sbj].	15	['dakw.', 'nakw.', 'dákw.', 'yakw.']
2OBJ[1SBJ]	15	['os', 'is,', 'us', 'áhs,', 'ihs,', 'is', 'oš', 'ós', 'as']
build.fire	15	['yákwhth', 'lákwht', 'lákoth', 'łák', 'yókwtw', 'hókwht', 'yákwht', 'tuy']
leave	15	['két', 'kit', 'lákabatot', 'tók', 'kab', 'kákoyab', 'kít']
name	15	['nín', 'din', 'dín']
stay[3sbj].	15	['tókw.', 'tokw.', 'tak.', 'takw.']
take	15	['lúl', 'lákw', 'ulaw', 'lùl', 'l', 'oks', 'raw', 'lul']
burn	14	['lakwt', 'tum', 'tuw', 'óth', 'wás', 'łakoth', 'łak', 'túw', 'łákoth']
five	14	['wéhsog,', 'wehsog', 'wehsog,']
come[3sbj].	14	['yúh.', 'luh.', 'luhw.', 'yuh.', 'lúh.', 'luw.']
nicely	14	['kuc']
NMLZ.INST	14	['ał,', 'al', 'ał']
soon	14	['hawarúkakhł', 'hawarúkak', 'bi', 'howadúkakhł', 'hawarúgakhł', 'kowałrukal', 'wurúkakhł', 'mi', 'huwarúkakhł', 'háwarúkakhł']
INTS	14	['óg', 'ag', 'og']
touch	14	['lólen', 'yol', 'lol', 'lólan', 'khadátkan', 'lólán', 'lolán', 'holán', 'kadátkan', 'yolán']
dwell[3sbj].	14	['tókw.', 'toke.', 'tòkw.', 'tokw.']
always	14	['čiwał', 'čiwił', 'ču']
hum	14	['lóhn', 'on', 'lon', 'lón']
hand	14	['néhson', 'ahšon', 'wéhs,', 'éhšon', 'ahšón', 'šón', 'wehsón', 'ehsón']
3PL.	14	['tokwun.', 'toku.']
there	14	['abuk', 'dagad', 'kú', 'či', 'úth', 'čuwo', 'labí']
ocean	14	['tethúg', 'šúhr,', 'šuhd', 'šudi', 'šuhr', 'šuhdi']
AUG	14	['óč', 'káke', 'kaké', 'ke', 'kake', 'ké', 'oč', 'kako']
go<nmlz.p>	13	['ato<h>l,', 'éto<h>l,', 'ato<h>r,', 'ato<h>l', 'éto<h>l', 'áto<h>l,']
look.so[3sbj.stv].	13	['dakw.', 'dákw.']
INST[1SBJ]	13	['uhw', 'al,', 'ut', 'ut,', 'utw', 'utw,']
fall	13	['ol', 'páčhol', 'ór', 'atkal', 'al', 'ól', 'łól']
river	13	['koyólił', 'kohwí,', 'kowí', 'kohwí', 'patóhw,', 'koyó', 'kohwi', 'koyólił,', 'kówi']
lie.there	13	['sél', 'kíł', 'tohl', 'kił', 'tekwhł', 'tolíl', 'li', 'kł', 'tól']
DIM	13	['óčh', 'oc', 'óc', 'óč,', 'očh']
EMPH.	13	['bał.', 'šúš.', 'hitk.', 'itk.']
how.int	13	['tawo', 'šuwó', 'šuwoh', 'šawo', 'šuwo', 'čuwo']
go.from	13	['lag', 'łak', 'łag']
REP	12	['bé', 'be']
go[3sbj].	12	['átohl.', 'lol.', 'átol.', 'tód.', 'etol.', 'tol.', 'etól.', 'lag.']
buy	12	['wel', 'biw', 'bel', 'behl', 'mel']
yet	12	['wo']
fear	12	['míl', 'bíl', 'bil']
be.three	12	['dikh', 'níkh', 'díkh', 'dik']
INST.IMPL[NMLZ]	12	['oníhl', 'ónihl,']
stand.up	12	['dúlohw', 'dotóhw', 'dów', 'wís', 'óhw', 'ohyawís', 'ow', 'ów', 'ohw', 'dótohw']
crow	12	['kacid', 'kocid', 'kacidi', 'khacid', 'kocíd', 'kócid', 'kocéd']
salmon.	12	['bołák.', 'bołàk.']
up.river	12	['šwidé', 'čóč', 'dothig', 'čóč,']
wear.dress	12	['mutw', 'khadókw', 'khokhadów', 'khókadow', 'khokadów', 'mútw']
visit	12	['wáłól', 'walól', 'wálaw', 'wokwhł', 'bókhł', 'wúkhł', 'wal']
speak.to	12	['thál', 'thel', 'yog', 'thal', 'thél']
stick	12	['botíw', 'bótih,', 'mótih', 'bótih', 'motih', 'botí']
people	12	['kuhwil', 'kuwíl', 'wóhwil,', 'kuwil', 'kuhwík', 'kuhwíl,', 'kuwék', 'kuwik']
hair	12	['óphł', 'pół', 'poł']
take.out	12	['łén', 'łen', 'łán', 'łul']
put.on	12	['ów', 'tuy', 'woth', 'wotuy']
treat	12	['lók', 'lák', 'yók', 'łák', 'lok']
wear.on.head	11	['khos', 'wóš', 'khóš', 'khoš']
no	11	['kiyow', 'kiyo', 'kíyowl', 'kíyowl,', 'kiyówl']
contrary.to.usual	11	['khíč,', 'khíč', 'khič']
sand	11	['étkak,', 'latkák', 'lakák,', 'latkák,']
be.nice	11	['kúc', 'kuc']
be.light	11	['tárawałór', 'dawáłor', 'tarawałor', 'tádawałór', 'dawałór', 'dawáłar']
marry	11	['wís', 'wisápel', 'wis']
2SBJ.IMP	11	['ig', 'it,', 'ih', 'ét', 'eh', 'at', 'at.']
appear	11	['lołól', 'lołów', 'yołow', 'lółow', 'dákwh', 'dakw', 'hołów']
2SBJ<N.IND>SBJV?	11	['a<h>m.', 'a<h>m?', 'o<h>m.']
split	11	['wošukadehr', 'wohwal', 'wóhwal', 'wówal', 'wohwalot']
3SBJ<NMLZ.P>INDF.	11	['ú<h>y.', 'u<h>y.']
old.woman	11	['širúk', 'širúkhe', 'širúkhi', 'širúkheh', 'šírok']
on.that.side.	11	['lákah.', 'lakowh.']
get.up	11	['éhl', 'el', 'łahl', 'nóhłal', 'łehl', 'nół', 'łél', 'l', 'lel', 'dohłál', 'dół']
sleep	11	['wíced', 'etw', 'bíced', 'nítw', 'mecad', 'nétw', 'mícad']
NMLZ.	11	['ahl.', 'ek.', 'ék.', 'ih.', 'ag.', 'im.', 'ił.', 'ahla.']
tracks	11	['wákasił', 'wélił,', 'wélił', 'wéleł']
hold	11	['khál', 'khul', 'nul', 'khan', 'kad', 'lul']
young.woman	11	['carórił,', 'carárił', 'carórił']
fetch	11	['wúl', 'búl', 'bul', 'bétik', 'lakw']
3SBJ<NMLZ.P>INDF	11	['u<h>y,', 'ú<h>y,']
foot	11	['elił', 'whelihł', 'whélił', 'wélił', 'érił']
PST.IPFV	11	['khuno']
back.and.forth	11	['kuhm', 'liyo', 'kúhm']
west	11	['šúd', 'šúhr,', 'šuhd', 'ówih', 'šúhr', 'šud', 'šú']
somebody	11	['kwíłto', 'šukto', 'kwiłto']
down.river	10	['kowe', 'šúhr', 'čóč,', 'bał', 'kwowi']
fire.	10	['mas.', 'bás.', 'más.']
wife	10	['wíw', 'wew', 'kwé', 'wéw', 'béw', 'wí']
2SG	10	['khil', 'khíl']
eagle	10	['til', 'tilh', 'tehl', 'tíle', 'tile']
2SBJ.IMP.	10	['ot.', 'eg.', 'it.', 'ig.', 'od.', 'at.']
be.much	10	['kác', 'píwa', 'kac', 'gác']
feed	10	['tú', 't', 'tos', 'ocw', 'túm', 'túk', 'tuw', 'tu']
2SBJ.HORT	10	['it', 'ít', 'et', 'ét', 'at']
put.down	10	['tólés', 'tolihs', 'tólis', 'tóles', 'etól', 'tól']
blow.down	10	['tółel', 'łwółel', 'lołél', 'lółel', 'wółar', 'lołál']
other.side	10	['lákhow', 'laka', 'kimi']
too	10	['woł,', 'woł']
whatever	10	['tołko', 'kwołko', 'tółko', 'téłkawał', 'kwółko', 'tełkawał']
strike	10	['táthał', 'tokw', 'tókw', 'čáčhał', 'čačhał']
go.along	10	['lalók', 'lók', 'lół', 'tol', 'álok', 'hl']
where.int	10	['tuwó', 'tuwo', 'tawo', 'tuwóy', 'tawó', 'towo']
elk	10	['méhlakw,', 'bélakw', 'mélakw', 'belakw', 'mélak', 'méhlakw']
pick.up	10	['kohs', 'bátan', 'kóhsan', 'khal', 'dot', 'búhl', 'lok', 'kos']
next.day	10	['harawałórih,', 'tarawałórih,', 'lotarawałórih,', 'bolókw', 'dawałor', 'tádawałod', 'kuwóhy,']
again.and.again	10	['wołbał', 'wałbał', 'wałabał', 'lbał', 'wałwał', 'wóławał', 'čiwałwał']
snake	10	['hóhrač', 'hóhrač,']
go.into	10	['kataw', 'kátow', 'katab', 'kátaw']
fight	10	['kókaw', 'koyúw', 'kókuw', 'kóyuw', 'kóyaw', 'kókahw', 'kókwaw', 'dókuhw']
pack.basket	10	['kholaw', 'kholawúh,', 'kholawúh']
cook[3sbj.pass].	10	['lap.', 'láp.', 'tút.', 'tut.']
panther	10	['tátkášonił', 'tatkašónił', 'totkošónił', 'tatkašonił', 'tatkošónił']
ask	10	['tówíl', 'towíl', 'táwim', 'tówil', 'towil']
2SBJ.SBJV?	10	['a<h>m.', 'óm.', 'am?', 'am.']
be.while	10	['rúk', 'núka', 'duk', 'ruk', 'núk']
dig	10	['ráš', 'kohwal', 'raš']
same.way	9	['šóp', 'diyahma', 'šópa', 'šop', 'diyahm']
look	9	['ełór', 'wéłor', 'túkłol', 'kł', 'tówełor']
TH.IMPL[NMLZ]	9	['óhw,', 'óthuh,', 'onihl,', 'ó<h>w,', 'othuh,', 'ónihl,']
run	9	['lałíkh', 'lałikhal', 'lałikh', 'lałikhál', 'łikhal', 'lól', 'łikhál']
all.night	9	['wóyad', 'wóyada', 'woy', 'wóyo', 'wóy', 'woya']
sand.cricket	9	['swenágadál', 'sbinágadił,', 'sbinágadił', 'swinágadił']
in.the.morning	9	['wolo', 'wólo,', 'woló,', 'woló']
burn.pass	9	['lałál', 'tuw', 'łakoth', 'salabił', 'lałal', 'łákoth']
INST.IMPL[NMLZ].	9	['onihl.', 'ónihl.']
turn.back	9	['kúm', 'kúhm', 'kum']
redwood	9	['búphal,', 'kadóthih,']
hear.person	9	['púšuk', 'pušóth', 'púšoth', 'pušúk']
linnet	9	['čúčhkiš']
young.man.	9	['thigadił.', 'thígadił.', 'thégadił.']
speak	9	['tohl', 'thal', 'tóhl']
find	9	['kúcawahkad', 'wem', 'kucágad', 'kucáhgal', 'kúcahgal', 'kúcahgar']
only.	9	['wona.', 'wóna.', 'wónakw.', 'wonakw.']
surf.fish.	9	['hùt.', 'hút.']
house	9	['búl,', 'muhl', 'bul', 'búl', 'mul']
come.from	9	['duw', 'núw', 'dúw', 'túw', 'dó']
go.ashore	9	['lit', 'ith', 'lét', 'hít', 'yét', 'yet']
by.foot	9	['ot', 'oth', 'érił', 'ót']
be.a.lot	9	['kác', 'kacw', 'kac']
jump	9	['athohl', 'áthólaw', 'łál', 'éthólaw', 'tadól', 'itadól', 'athólaw', 'ethólab']
piece	9	['skh', 'sk', 'apłá', 'bískad']
bear	9	['mokw', 'bokw', 'khanóphalił,', 'khanóphalił']
single.one	9	['towáł', 'tował', 'tówał', 'dówał', 'tówad']
grease	9	['cehlí', 'cehli', 'púhm,', 'puhm']
go.down.into	9	['łak', 'łág', 'łák', 'łag']
hear	9	['paduk', 'púšuk', 'puš', 'paruk', 'púš', 'kán', 'kan']
grandmother	9	['kučk', 'kúčhkh', 'kúčk', 'kúckhed']
dwell[3sbj]	8	['tokt', 'tohl,', 'tokw', 'tókw', 'tó']
anything	8	['tołkował', 'kwołwo', 'kwołwo,', 'kwółwo,']
IMP	8	['a,', 'i,']
grow	8	['łákw', 'akw', 'thígad', 'lag', 'łakw']
behind	8	['wičbí,', 'dołé', 'dałe', 'wičbi', 'dałé']
turn.over	8	['łahlaboy', 'łahlabokwłoy', 'łahlabélihs', 'łahlaboyaw', 'łahl', 'łahlab']
stay[1sbj]	8	['tohl,', 'tol', 'tokw', 'to', 'koł,']
wolf	8	['dokwhłírił']
place	8	['bi', 'ak', 'tól', 'kaweł', 'tuy', 'bí']
toward[nmlz]	8	['dok']
west[nmlz]	8	['šuhr']
be.right	8	['pičhk', 'pičhál', 'píčhad', 'píčha', 'píčad', 'píčhi', 'péčha']
drop	8	['hałól', 'ał', 'átwał', 'khowal', 'kithowal']
head	8	['ágad', 'watbát,', 'wátwath', 'átkus']
INST.IMPL[3SBJ.PASS].	8	['onihl.', 'ónihl.']
abuse	8	['tak', 'kuców', 'lók', 'kučow']
be.small	8	['kosw', 'kósóm', 'košaw', 'kóšb', 'kósw']
3SBJ.STV[NMLZ]	8	['ad', 'an']
INST.IMPL[3SBJ]	8	['anah', 'onihl,', 'ónihl,', 'ónihl']
be.black	8	['sisbal', 'sálaw', 'sísw', 'siswoks', 'sisw']
love	8	['tišk', 'tišg']
mother.sub	8	['kwóčh', 'kw', 'kwóč']
abalone	8	['hiwót,', 'híwot', 'híwat']
top	8	['ruhrawókał', 'wósal,', 'tot', 'wósal']
push.aside	8	['łoy', 'łóy']
teeth.sub	8	['wapt']
tree	8	['wónokw,', 'bótih,', 'wotí']
lower	8	['wés']
happen.so	8	['dákw', 'dakw', 'dagad']
be.dry	8	['macawétk', 'bac', 'bác', 'bácawan', 'mácaw']
put.in	8	['hleckalag', 'leckal', 'tóles', 'tuy', 'tólos']
2SBJ.SBJV	8	['ig', 'am,', 'ahg', 'am', 'ah', 'ehg']
acorn	8	['kómak', 'mut', 'kohmák,', 'komák', 'kómakh']
be.well	7	['wénutw', 'kú', 'kuc']
die[3sbj].	7	['dákw.', 'nakw.', 'wadak.']
man.	7	['kúwih.', 'kúwił.', 'kuhwil.', 'kuhwìl.', 'kuhwíl.', 'kuwih.']
sweat.house	7	['khahwo', 'kohwo', 'khohwo', 'khawoh', 'khóhwo']
eels	7	['kútaw,', 'kútaw']
inside	7	['tólih', 'tolih', 'tólih,', 'tól']
INST.IMPL[3SBJ].	7	['onihl.', 'ánihl.', 'ónihl.']
3SBJ.INDF[NMLZ]	7	['óyh', 'uy,', 'óy', 'uy']
cl.round	7	['atk,', 'etk', 'étk', 'atk']
imitate	7	['šopék', 'šipar', 'dorukł', 'dórukł', 'šiparog']
think[1sbj]	7	['dó,', 'noh', 'nó,', 'dók,', 'dók', 'dó']
be.long	7	['tathad', 'łów', 'łow']
steal	7	['tón', 'kámar', 'nim', 'kámad', 'khamed', 'tónem']
children	7	['cek', 'číkh', 'cék,']
ADVS.	7	['yał.', 'ał.']
southwest.young.man	7	['dokhšadáłágił', 'dokšudółágił', 'dókhšudołágił', 'dokhšudółagił', 'dokšudółágeł', 'dokhšadáłagił', 'dokhšudółageł']
TH.IMPL[3SBJ].	7	['uhw.', 'ohw.']
fasten	7	['kadókws', 'tuy', 'kad']
bathe	7	['itathigalísw', 'thigulís', 'athigalísw', 'tathigalísw']
3SBJ<TH.IMPL>IMPL	7	['a<h>n', 'a<h>n,']
3SBJ<TH.IMPL>IMPL.	7	['a<h>n.', 'á<h>n.']
please	7	['walé', 'wałé', 'wale', 'wule']
women	7	['kabúč', 'kabuč', 'kabúč,']
lay.down	7	['tékwhł', 'tól', 'tólihs']
3SUB[1SBJ]	7	['ahl,', 'ahl']
follow	7	['ókwhš', 'dokwhš', 'lútokwš', 'okwš', 'okwhš']
be.wet	7	['túkohw', 'tulí', 'tul', 'tól']
ashes	7	['bacawítk,', 'bácawítw', 'masawétk', 'wácabetk']
scorch	7	['sulag', 'suhlag', 'suhl', 'lásuhlag']
feel	7	['wałół', 'olaw', 'łólaw', 'lóław', 'lakw']
both.sides	7	['loł', 'yoł', 'yół', 'hół']
haul	7	['lut', 'ul']
row	7	['lís', 'lis', 'lolohwil']
grasp	7	['khan', 'kha', 'khán']
doctor	7	['lágadotiy', 'hnalótwił,', 'rawátwotw', 'hnalótwił']
test	7	['sbokw', 'łitadan']
net	7	['čówadočh', 'čówadóčh', 'ísw', 'dothé']
2OBJ[1SBJ].	7	['os.', 'us.', 'as.', 'es.', 'ís.']
hit	7	['tókw', 'tók', 'tokw']
white.grass	7	['hímanawał,', 'himánawał,', 'himanawał']
alder.wood	7	['wít,']
eat[1sbj].	7	['biw.', 'behw.', 'bew.', 'bíw.']
cottontail.rabbit	7	['takwt', 'tákwt,']
TH.PASS[3SBJ]	7	['owhw', 'h,', 'othuh,', 'uh', 'ów']
once.upon.a.time	7	['kukwéhltawał', 'kukwetówał', 'kučhétował', 'kukwetowił', 'kukwetáwił', 'kukwétawał', 'kuwétowił']
halfway	7	['pihk', 'pík', 'pik']
go.in.canoe[3sbj]	7	['łik', 'lek', 'łek']
animal	7	['čéčhočh', 'čečhóčh']
3OBJ[3SBJ].	7	['em.', 'im.', 'om.', 'uhm.', 'ak.']
be.surprised	7	['bocókwotw', 'bosókw', 'bocókwok', 'bocókw']
hazel.brush	7	['lágasiswał', 'lagasiswał', 'lágasiswał,']
(PST	7	['(hi', '(he', '(hih']
in.the.past	7	['khuno', 'hinó', 'khúno']
at.end.of	7	['oyá', 'óyá', 'óy', 'łoya']
little.girl	7	['bočád,', 'bočád']
breathe	7	['táłkan', 'łkan', 'hałkan']
POSS	7	['ki', 'el', 'khe', 'dakw', 'dákwhe']
TH.IMPL.	6	['othuh.', 'uhw.', 'ohw.', 'ihw.']
another	6	['ikłél', 'tiwíl', 'ikhłahl', 'ikhłehl']
3SBJ<NMLZ.P>PASS	6	['a<h>n', 'a<h>n,']
sky	6	['wehn', 'wéhn']
acorn.tree	6	['kohmák,', 'kohmák', 'kohmak']
dwell.at[3sbj.def]	6	['tòkw,', 'tokw,']
enter	6	['kataw', 'kótaw', 'katow', 'kátaw']
3SBJ<TH.STV>PASS.	6	['e<h>m.', 'a<h>n.']
wear	6	['khókadow', 'šigadak', 'okadow', 'khokadów']
arm	6	['woy', 'ahšón', 'wun']
pass	6	['lakwós', 'lakwoc', 'th', 'witw']
sell	6	['lakws', 'bócab', 'lácab']
in.the.old.days	6	['kukwe', 'kukwé,']
be.heavy	6	['lág', 'lag']
peel.bark	6	['šamukehr', 'šutehr']
travel	6	['yól', 'átol', 'tol', 'atol', 'tól']
above	6	['tót', 'ót', 'thón', 'dotadi', 'tóth']
stay[3sbj]	6	['tukw', 'takw', 'tol', 'tak', 'tokw']
dwell.at[3sbj.def].	6	['tòkw.', 'tokw.']
play.stick.game	6	['dókwhłóy', 'dokwhłóy', 'dókwhłoy']
cane	6	['khókł,', 'khokł', 'khókł']
cl.elk.meat	6	['bóy', 'woy', 'wóya', 'wóy', 'móy']
grind	6	['lás', 'ás', 'as', 'las']
get	6	['báhl', 'bahlaw', 'bét', 'wotúkałihy', 'khan', 'búl']
catch.fish	6	['pél', 'phél', 'phel', 'pel']
put.up	6	['tokos', 'tókws', 'kwalákws', 'takwhs', 'tákwhs', 'kwhalákws']
grow.up	6	['lókw', 'łákw', 'łakw']
well	6	['kúc', 'kuc,', 'kuc']
weave.baskets	6	['líwakwh', 'líyawakwh', 'liyawókw', 'iyawokwh', 'iyawakwh', 'liwakwh']
acorns	6	['kohmák,', 'kohmák']
be.painful	6	['phów', 'síl']
grab	6	['khan', 'khán']
basket.plate	6	['poš', 'pos', 'pitwál']
show.so[3sbj.stv]	6	['dákhalakw,', 'dákhalakw']
dress	6	['hokad', 'kád', 'hokád,', 'lokw', 'khokadów']
venison	6	['čečóč,', 'čéčhočh', 'čečhóčh', 'čečóč']
be.four	6	['diyohw', 'diyóhw', 'domí', 'noh']
leave.pass	6	['liłíhm', 'liłih', 'botoy', 'taloka', 'kitog']
be.cured	6	['wénutw', 'wenutw']
hire	6	['kótaw', 'kothab', 'kótab', 'kotab']
sleepy.head	6	['hehnat', 'héhnat', 'hinačwú,']
2SBJ.SBJV.	6	['ehg.', 'am.']
north.west	6	['phudi', 'phudí']
water.	6	['húhl.', 'badočé.', 'huhl.']
when.nmlz	6	['hu']
be.freshet	6	['pótw', 'potw']
happen.so[3sbj.stv]	6	['nagadak,', 'dakw,', 'dágadak,', 'nágadak,']
edge	6	['łim', 'łihw']
hear.news	6	['gán', 'kan', 'kán']
through.air	6	['tóluh', 'toluh', 'tolúh']
play	6	['kómaročh', 'daga', 'komaročh', 'rohrágador', 'gadórir', 'rohragadóhr']
